row_type,key_info,row_number,column_name,table1_value,table2_value
different_data,id=2,2,age,30,31
different_data,id=3,3,age,25,28
different_data,id=3,3,name,张三,王五
different_data,id=3,3,created_at,2023-01-01,2023-01-03
different_data,id=3,3,email,zhangsan@example.com,wangwu@example.com
different_data,id=4,4,age,30,25
different_data,id=4,4,name,李四,张三
different_data,id=4,4,created_at,2023-01-02,2023-01-01
different_data,id=4,4,email,lisi@example.com,zhangsan@example.com
only_in_table2,id=5,5,age,,31
only_in_table2,id=5,5,name,,李四
only_in_table2,id=5,5,id,,5
only_in_table2,id=5,5,created_at,,2023-01-02
only_in_table2,id=5,5,email,,lisi@example.com
only_in_table2,id=6,6,age,,28
only_in_table2,id=6,6,name,,王五
only_in_table2,id=6,6,id,,6
only_in_table2,id=6,6,created_at,,2023-01-03
only_in_table2,id=6,6,email,,wangwu@example.com
